datetime,aqi_t_plus_48,aqi_t_plus_72,temp_roll_mean_24,humidity_roll_std_24,pm10_roll_std_12,co_roll_mean_12,wind_speed_roll_mean_24,co_lag_12,temp_lag_6,temp_roll_std_24,pm2_5_roll_mean_12,no2_roll_mean_12,pm10_lag_24,so2_roll_mean_24,o3_roll_mean_24,pm10_lag_12,no2_lag_24,pm10_roll_mean_24,pm2_5_lag_24,aqi_roll_std_24,humidity_roll_mean_24,dayofweek,pm2_5_roll_mean_24,pm2_5_roll_std_24,o3_roll_std_24,so2_roll_std_24,co_lag_24,no2_roll_std_24,co_roll_mean_24,so2_lag_24,aqi_t_plus_1,aqi_t_plus_6,aqi_t_plus_12,aqi_t_plus_24
2025-10-11 15:00:00+00:00,2.0,2.0,27.291666666666668,16.10692307718938,1.1248309633088642,97.7725,6.333333333333332,97.99,31.3,2.7722093946048814,6.454166666666667,0.0308333333333333,32.59,0.0941666666666666,60.29999999999999,19.98,0.05,23.351666666666663,9.65,0.3378319623460675,64.70833333333333,5.0,7.150416666666668,1.1243490063882344,2.1705819696331647,0.0241222730536169,97.03,0.0104170312552866,97.62416666666668,0.15,2.0,2.0,2.0,2.0
2025-10-11 16:00:00+00:00,2.0,2.0,27.2875,16.114400796910854,1.3017363109677274,97.78916666666667,6.308333333333334,98.01,31.2,2.772741932832244,6.535833333333334,0.0324999999999999,31.74,0.0941666666666666,60.15708333333333,19.84,0.05,22.97625,9.44,0.3378319623460675,64.75,5.0,7.047916666666667,0.9907659713097368,1.9137931357925035,0.0241222730536169,96.95,0.0111316257077809,97.6725,0.14,2.0,2.0,2.0,2.0
2025-10-11 17:00:00+00:00,2.0,2.0,27.27916666666667,16.147867450174612,1.3742457983205862,97.80583333333333,6.2875000000000005,98.16,30.7,2.775197473062427,6.625,0.0349999999999999,30.78,0.095,60.0725,19.92,0.05,22.63666666666667,9.21,0.3378319623460675,64.83333333333333,5.0,6.95625,0.8518614526687979,1.744918709936806,0.0260434419550773,97.17,0.0117876767338632,97.725,0.12,2.0,2.0,2.0,2.0
2025-10-11 18:00:00+00:00,2.0,2.0,27.26666666666667,16.234691786150645,1.36704364684687,97.815,6.325,98.05,29.5,2.780470192746713,6.715000000000001,0.0375,29.38,0.0970833333333333,60.03375,20.15,0.05,22.332916666666662,8.87,0.3378319623460675,65.0,5.0,6.875416666666666,0.7087219307476618,1.663978502403615,0.0298516865136314,97.31,0.012394484088715,97.77083333333331,0.11,2.0,2.0,2.0,2.0
2025-10-11 19:00:00+00:00,2.0,2.0,27.245833333333334,16.42439860589179,1.3047907061787876,97.85083333333334,6.375,97.94,28.3,2.79300043846661,6.800833333333334,0.04,27.52,0.1,60.04791666666667,20.29,0.04,22.07958333333333,8.38,0.3378319623460675,65.25,5.0,6.809166666666666,0.5760654902315604,1.6925103022221364,0.0342624144330295,97.31,0.0129589671667221,97.81958333333334,0.1,2.0,2.0,2.0,2.0
2025-10-11 20:00:00+00:00,2.0,2.0,27.225000000000005,16.584380201462743,1.186613464529996,97.90166666666666,6.370833333333334,97.65,27.6,2.8076371002955187,6.884166666666668,0.0425,25.59,0.10375,60.12125,20.45,0.04,21.894166666666667,7.87,0.3378319623460675,65.45833333333333,5.0,6.763333333333333,0.4816788271389791,1.82710822242732,0.0388768960023916,97.52,0.0131601084044342,97.87125000000002,0.1,2.0,2.0,2.0,2.0
2025-10-11 21:00:00+00:00,2.0,2.0,27.2125,16.766080319364,1.0279267154745335,97.98666666666666,6.4,97.38,26.9,2.818157353584877,6.9675,0.0449999999999999,24.0,0.1079166666666666,60.25333333333333,20.78,0.04,21.786666666666665,7.43,0.3378319623460675,65.66666666666667,5.0,6.740416666666666,0.4378254480369568,2.0387201156816306,0.043537007405142,97.54,0.0133446527704605,97.91916666666668,0.09,2.0,2.0,2.0,2.0
2025-10-11 22:00:00+00:00,2.0,2.0,27.20833333333333,16.968801295062267,0.865474120698547,98.10166666666667,6.479166666666665,97.54,26.4,2.8222588342559107,7.051666666666667,0.0474999999999999,22.81,0.1129166666666666,60.443333333333335,21.14,0.04,21.754166666666663,7.09,0.3378319623460675,65.875,5.0,6.740000000000001,0.4371448866614697,2.300237542855843,0.0480470029456198,97.7,0.0135132802483808,97.97,0.08,2.0,2.0,2.0,2.0
2025-10-11 23:00:00+00:00,2.0,2.0,27.20416666666667,17.142571383056595,0.7280213943073336,98.22916666666669,6.574999999999999,97.47,26.0,2.826809411558314,7.141666666666667,0.05,21.96,0.1183333333333333,60.69958333333333,21.37,0.04,21.792916666666667,6.83,0.3378319623460675,66.04166666666667,5.0,6.760416666666667,0.4647718387329416,2.596583841293836,0.0513865712949196,97.73,0.0136665800307838,98.02708333333334,0.08,2.0,2.0,2.0,2.0
2025-10-12 00:00:00+00:00,2.0,2.0,27.200000000000003,17.32296582365556,0.6472529356373017,98.37916666666666,6.6875,97.47,25.4,2.831806920462959,7.248333333333334,0.0516666666666666,21.29,0.1241666666666666,61.017500000000005,21.84,0.04,21.9,6.62,0.3378319623460675,66.20833333333333,6.0,6.801666666666667,0.512679802089481,2.8842635259105136,0.0546861930421933,97.78,0.0138050627511714,98.09125,0.07,2.0,2.0,2.0,2.0
